Date,Close,High,Low,Open,Volume
2015-03-09,28.39,28.94,27.93,28.58,354114000
2015-03-10,27.81,28.41,27.65,28.23,275426400
2015-03-11,27.3,27.86,27.27,27.86,275756000
2015-03-12,27.79,27.89,27.16,27.32,193450800
2015-03-13,27.6,28.01,27.38,27.78,207309200
2015-03-16,27.9,27.9,27.44,27.67,143497200
2015-03-17,28.37,28.43,28.06,28.12,204092400
2015-03-18,28.69,28.84,28.22,28.36,261083600
2015-03-19,28.47,28.87,28.45,28.75,183238000
2015-03-20,28.12,28.68,27.95,28.64,274780400
2015-03-23,28.41,28.55,28.26,28.39,150838800
2015-03-24,28.29,28.59,28.26,28.41,131369200
2015-03-25,27.55,28.32,27.55,28.26,206620800
2015-03-26,27.75,27.89,27.38,27.42,190291600
2015-03-27,27.53,27.85,27.45,27.82,158184800
2015-03-30,28.22,28.23,27.69,27.7,188398800
2015-03-31,27.79,28.25,27.77,28.16,168362400
2015-04-01,27.75,27.94,27.49,27.88,162485600
2015-04-02,27.99,28.04,27.74,27.92,128880400
2015-04-06,28.44,28.48,27.77,27.8,148776000
2015-04-07,28.14,28.61,28.13,28.51,140049200
2015-04-08,28.05,28.23,27.91,28.11,149316800
2015-04-09,28.26,28.27,27.84,28.11,129936000
2015-04-10,28.38,28.41,27.97,28.13,160752000
2015-04-13,28.33,28.71,28.28,28.67,145460400
2015-04-14,28.21,28.43,28.12,28.36,102098400
2015-04-15,28.31,28.39,28.14,28.23,115881600
2015-04-16,28.18,28.38,28.16,28.2,113476000
2015-04-17,27.86,28.17,27.8,28.04,207828000
2015-04-20,28.5,28.61,27.95,28.04,188217200
2015-04-21,28.34,28.63,28.29,28.61,129740400
2015-04-22,28.72,28.78,28.21,28.36,150618000
2015-04-23,28.96,29.13,28.62,28.65,183083600
2015-04-24,29.1,29.17,28.86,29.14,178103600
2015-04-27,29.62,29.73,29.29,29.55,387816800
2015-04-28,29.16,30.05,28.94,30.03,475696000
2015-04-29,28.73,29.39,28.65,29.07,253544400
2015-04-30,27.95,28.73,27.82,28.73,332781600
2015-05-01,28.8,29.06,27.98,28.16,234050400
2015-05-04,28.74,29.16,28.64,28.92,203953200
2015-05-05,28.09,28.69,28.09,28.62,197085600
2015-05-06,27.92,28.31,27.55,28.26,288564000
2015-05-07,28.09,28.27,27.81,27.98,175763600
2015-05-08,28.62,28.62,28.28,28.41,222201600
2015-05-11,28.33,28.61,28.17,28.57,168143200
2015-05-12,28.23,28.45,27.99,28.17,192640000
2015-05-13,28.26,28.52,28.23,28.29,138776800
2015-05-14,28.92,28.92,28.52,28.57,180814000
2015-05-15,28.88,29.04,28.75,28.95,152832000
2015-05-18,29.2,29.32,28.79,28.79,203531600
2015-05-19,29.17,29.35,29.07,29.31,178532800
2015-05-20,29.17,29.37,29.01,29.15,145819600
2015-05-21,29.47,29.52,29.12,29.17,158921600
2015-05-22,29.72,29.82,29.47,29.51,182384000
2015-05-26,29.07,29.81,28.96,29.74,282790400
2015-05-27,29.61,29.66,29.17,29.23,183332800
2015-05-28,29.55,29.59,29.4,29.57,122933200
2015-05-29,29.22,29.48,29.13,29.43,203538000
2015-06-01,29.27,29.47,29.17,29.22,128451200
2015-06-02,29.14,29.3,29.0,29.12,134670400
2015-06-03,29.18,29.36,29.13,29.3,123934000
2015-06-04,29.01,29.28,28.91,29.06,153800400
2015-06-05,28.85,29.08,28.79,29.04,142507200
2015-06-08,28.66,28.98,28.44,28.91,210699200
2015-06-09,28.58,28.72,28.17,28.41,224301600
2015-06-10,28.9,29.01,28.67,28.69,156349200
2015-06-11,28.84,29.19,28.81,28.97,141563600
2015-06-12,28.52,28.78,28.51,28.75,147544800
2015-06-15,28.46,28.53,28.19,28.28,175955600
2015-06-16,28.62,28.67,28.34,28.49,125976400
2015-06-17,28.55,28.68,28.42,28.64,131672400
2015-06-18,28.68,28.77,28.53,28.53,141628800
2015-06-19,28.39,28.66,28.35,28.64,218867600
2015-06-22,28.62,28.72,28.5,28.59,136157200
2015-06-23,28.49,28.62,28.45,28.59,121075600
2015-06-24,28.73,29.11,28.51,28.53,221123600
2015-06-25,28.59,28.97,28.59,28.9,127752400
2015-06-26,28.43,28.7,28.37,28.63,176267200
2015-06-29,27.93,28.36,27.92,28.14,196645600
2015-06-30,28.13,28.28,28.0,28.16,177482800
2015-07-01,28.39,28.47,28.25,28.46,120955200
2015-07-02,28.36,28.41,28.21,28.35,108844000
2015-07-06,28.26,28.31,28.0,28.02,112241600
2015-07-07,28.19,28.29,27.76,28.23,187787200
2015-07-08,27.49,27.95,27.48,27.92,243046400
2015-07-09,26.93,27.82,26.74,27.77,314380000
2015-07-10,27.65,27.77,27.18,27.35,245418000
2015-07-13,28.18,28.2,27.88,28.04,165762000
2015-07-14,28.17,28.34,28.04,28.27,127072400
2015-07-15,28.44,28.51,28.16,28.19,134596800
2015-07-16,28.82,28.83,28.56,28.65,144889600
2015-07-17,29.07,29.07,28.77,28.95,184658800
2015-07-20,29.62,29.82,29.31,29.37,235600800
2015-07-21,29.32,29.81,29.23,29.79,307025600
2015-07-22,28.08,28.14,27.36,27.36,461802400
2015-07-23,28.07,28.5,28.05,28.3,203998000
2015-07-24,27.92,28.2,27.79,28.1,168649200
2015-07-27,27.53,27.72,27.39,27.6,177822000
2015-07-28,27.67,27.79,27.48,27.67,134472400
2015-07-29,27.58,27.7,27.42,27.62,148046800
2015-07-30,27.44,27.49,27.29,27.43,134513200
2015-07-31,27.2,27.5,27.12,27.49,171540000
2015-08-03,26.56,27.49,26.36,27.25,279904000
2015-08-04,25.71,26.4,25.4,26.33,496554400
2015-08-05,25.88,26.34,25.14,25.33,397250400
2015-08-06,25.94,26.24,25.71,26.13,211612000
2015-08-07,26.02,26.19,25.79,25.81,154681600
